Etiquetas de fila;Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%);Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%);Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%);Forest area certified under an independently verified certification scheme (thousands of hectares);
Afghanistan;60.85211;45.82733;46.40875;0;
Africa;;;;10368.12;
Åland Islands;;;;0;
Albania;96.58664;40.29869;48.64997;0;
Algeria;78.88409;27.70651;43.49129;0;
American Samoa;0;90.95176;71.11919;0;
Americas;;;;216865.17;
Andorra;0;26.19925;26.19925;0;
Angola;42.1896;9.78744;31.34194;0;
Anguilla;0;0;18.57953;0;
Antigua and Barbuda;0;0;14.00814;0;
Argentina;40.07538;37.71216;32.31887;722.26;
Armenia;30.53006;23.39697;22.56944;0;
Aruba;0;0;37.14634;0;
Asia;;;;31237.84;
Australia;37.64578;68.52229;57.30548;20550.37;
Australia and New Zealand;32.42617;53.70053;54.23823;21919.63;
Austria;71.22053;65.43585;67.94397;3279.27;
Azerbaijan;14.52673;55.51211;36.61487;0;
Bahamas;0;0;29.76109;0;
Bahrain;0;0;0;0;
Bangladesh;0;0;42.11916;0;
Barbados;0;0;1.75387;0;
Belarus;90.1469;0;87.88356;0;
Belgium;85.48739;24.29562;75.83413;328.01;
Belize;15.25233;87.10585;43.26193;101.81;
Benin;0.00069;0;66.6644;0;
Bermuda;0;0;51.9841;0;
Bhutan;34.81402;46.97354;46.97354;0;
Bolivia (Plurinational State of);58.98741;46.51715;45.44812;1035.82;
Bonaire, Sint Eustatius and Saba;0;0;62.46954;0;
Bosnia and Herzegovina;99.95832;27.27733;37.13968;2003.53;
Botswana;52.11649;0;51.08786;0;
Bouvet Island;0;100;100;0;
Brazil;28.62524;51.38495;45.65313;9077.12;
British Indian Ocean Territory;0;0;99.96581;0;
British Virgin Islands;0;0;7.36553;0;
Brunei Darussalam;50;69.52279;41.65676;0;
Bulgaria;98.668;99.4971;99.2754;2381.56;
Burkina Faso;64.49832;62.9778;78.79927;0;
Burundi;86.57709;76.748;62.70653;0;
Cabo Verde;0;11.96761;12.02786;0;
Cambodia;45.04338;93.81897;54.53536;8.32;
Cameroon;41.63569;24.94953;35.47165;695.25;
Canada;23.22718;35.0341;31.46817;156495.57;
Caribbean;;;;0;
Cayman Islands;99.78782;0;32.49257;0;
Central African Republic;94.79925;50.14602;74.237;0;
Central America;;;;2134.4;
Central and Southern Asia;20.05277;22.82602;19.73515;621.4;
Central Asia;20.0038;31.45447;23.00301;0;
Chad;61.37903;49.99988;67.31274;0;
Channel Islands;;;;0;
Chile;47.31832;45.4209;33.29123;2221.28;
China;9.58429;11.84824;10.07423;4998.03;
China, Hong Kong Special Administrative Region;16.62643;57.00045;48.92564;0;
China, Macao Special Administrative Region;0;0;0;0;
Christmas Island;0;0;62.89241;0;
